symbol,instrument_token,tradingsymbol,name,last_price,lot_size
NSE:BRNL,5550849,BRNL,BHARAT ROAD NETWORK,0,1
NSE:BSE,5013761,BSE,BSE,0,1
NSE:BSL,143105,BSL,BSL,0,1
NSE:BSLNIFINAV,2552833,BSLNIFINAV,BSLNIFTY INAV,0,1
NSE:BSOFT,1790465,BSOFT,BIRLASOFT,0,1
NSE:BTML,3622401,BTML,BODHI TREE MULTIMEDIA,0,1
NSE:BUILDPRO,194712065,BUILDPRO,SHANKARA BUILDPRO,0,1
NSE:BUTTERFLY,695297,BUTTERFLY,BTRFLY GANDHI APPL,0,1
NSE:BVCL,3858689,BVCL,BARAK VALLEY CEM.,0,1
NSE:CAMLINFINE,1591297,CAMLINFINE,CAMLIN FINE SCIENCES,0,1
NSE:CAMPUS,2396673,CAMPUS,CAMPUS ACTIVEWEAR,0,1
NSE:CAMS,87553,CAMS,COMPUTER AGE MNGT SER,0,1
NSE:CANBK,2763265,CANBK,CANARA BANK,0,1
NSE:CANFINHOME,149249,CANFINHOME,CAN FIN HOMES,0,1
NSE:CANHLIFE,194426113,CANHLIFE,CANARA HSBC LIFE INS CO L,0,1
NSE:CANTABIL,5160961,CANTABIL,CANTABIL RETAIL,0,1
NSE:CAPACITE,5567745,CAPACITE,CAPACITE INFRAPROJECT,0,1
NSE:CAPILLARY,194525953,CAPILLARY,CAPILLARY TECHNO INDIA L,0,1
NSE:CAPITALSFB,5804801,CAPITALSFB,CAPITAL SMALL FIN BANK L,0,1
NSE:CAPLIPOINT,999937,CAPLIPOINT,CAPLIN POINT LAB,0,1
NSE:CAPTRUST,4978433,CAPTRUST,CAPITAL TRUST,0,1
NSE:CARBORUNIV,152321,CARBORUNIV,CARBORUNDUM UNIVERSAL,0,1
NSE:CARERATING,7452929,CARERATING,CARE RATINGS,0,1
NSE:CARRARO,7393025,CARRARO,CARRARO INDIA,0,1
NSE:CARTRADE,1384193,CARTRADE,CARTRADE TECH,0,1
NSE:CARYSIL,481025,CARYSIL,CARYSIL,0,1
NSE:CASHIEINAV,7717377,CASHIEINAV,ICICIPRAMC - CASHIEINAV,0,1
NSE:CASTROLIND,320001,CASTROLIND,CASTROL INDIA,0,1
NSE:CCAVENUE,4159745,CCAVENUE,AVENUESAI,0,1
NSE:CCCL,3837953,CCCL,CONS. CONST. CONSORT,0,1
NSE:CCHHL,1634561,CCHHL,COUNTRY CLUB HOSP HOL,0,1
NSE:CCL,2931713,CCL,CCL PRODUCTS (I),0,1
NSE:CDSL,5420545,CDSL,CENTRAL DEPO SER (I),0,1
NSE:CEATLTD,3905025,CEATLTD,CEAT,0,1
NSE:CEIGALL,6333953,CEIGALL,CEIGALL INDIA,0,1
NSE:CEINSYS,194825473,CEINSYS,CEINSYS TECH,0,1
NSE:CELEBRITY,3369473,CELEBRITY,CELEBRITY FASHIONS,0,1
NSE:CELLO,5067521,CELLO,CELLO WORLD,0,1
NSE:CEMPRO,1439233,CEMPRO,CEMINDIA PROJECTS,0,1
NSE:CENTENKA,158465,CENTENKA,CENTURY ENKA,0,1
NSE:CENTEXT,2946817,CENTEXT,CENTURY EXTRUSIONS,0,1
NSE:CENTRALBK,3812865,CENTRALBK,CENTRAL BANK OF INDIA,0,1
NSE:CENTRUM,628225,CENTRUM,CENTRUM CAPITAL,0,1
NSE:CENTUM,3835393,CENTUM,CENTUM ELECTRONICS,0,1
NSE:CENTURYPLY,3406081,CENTURYPLY,CENTURY PLYBOARDS (I),0,1
NSE:CERA,3849985,CERA,CERA SANITARYWARE,0,1
NSE:CESC,160769,CESC,CESC,0,1
NSE:CEWATER,7363585,CEWATER,CONCORD ENVIRO SYSTEMS L,0,1
NSE:CGCL,5204225,CGCL,CAPRI GLOBAL CAPITAL,0,1
NSE:CGPOWER,194561,CGPOWER,CG POWER AND IND SOL,0,1
NSE:CHALET,2187777,CHALET,CHALET HOTELS,0,1
NSE:CHAMBLFERT,163073,CHAMBLFERT,CHAMBAL FERTILIZERS,0,1
NSE:CHEMINAV,7827201,CHEMINAV,KOTAKMAMC - CHEMINAV,0,1
NSE:CHEMPLASTS,1394945,CHEMPLASTS,CHEMPLAST SANMAR,0,1
NSE:CHENNPETRO,524545,CHENNPETRO,CHENNAI PETROLEUM CORP LT,0,1
NSE:CHEVIOT,2529025,CHEVIOT,CHEVIOT COMPANY,0,1
NSE:CHGOLDINAV,7826177,CHGOLDINAV,CHOICEAMC - CHGOLDINAV,0,1
NSE:CHOICEIN,2269697,CHOICEIN,CHOICE INTERNATIONAL,0,1
NSE:CHOLAFIN,175361,CHOLAFIN,CHOLAMANDALAM IN & FIN CO,0,1
NSE:CHOLAHLDNG,5565441,CHOLAHLDNG,CHOLAMANDALAM FIN HOL,0,1
NSE:CIEINDIA,3823873,CIEINDIA,CIE AUTOMOTIVE INDIA,0,1
NSE:CIFL,193539841,CIFL,CAPITAL INDIA FINANCE,0,1
NSE:CINELINE,6953217,CINELINE,CINELINE INDIA,0,1
NSE:CINEVISTA,2054145,CINEVISTA,CINEVISTA,0,1
NSE:CIPLA,177665,CIPLA,CIPLA,0,1
NSE:CLEAN,1292545,CLEAN,CLEAN SCIENCE & TECH,0,1
NSE:CLEANMAX,194606849,CLEANMAX,CLEAN MAX ENVIRO EN SOL L,0,1
NSE:CLSEL,891393,CLSEL,CHAMAN LAL SETIA EXP,0,1
NSE:CMPDI,194964737,CMPDI,CENTRAL MINE P N D INST L,0,1
NSE:CMRGREEN,7908609,CMRGREEN,CMR GREEN TECHNOLOGIES L,0,1
NSE:CMSINFO,1946369,CMSINFO,CMS INFO SYSTEMS,0,1
NSE:CNL,2855681,CNL,CREATIVE NEWTECH,0,1
NSE:COALINDIA,5215745,COALINDIA,COAL INDIA,0,1
NSE:COASTCORP,1537537,COASTCORP,COASTAL CORPORATION,0,1
NSE:COCHINSHIP,5506049,COCHINSHIP,COCHIN SHIPYARD,0,1
NSE:COCKERILL,195231489,COCKERILL,JOHN COCKERILL INDIA,0,1
NSE:COFORGE,2955009,COFORGE,COFORGE,0,1
NSE:COHANCE,4593921,COHANCE,COHANCE LIFESCIENCES,0,1
NSE:COLPAL,3876097,COLPAL,COLGATE PALMOLIVE,0,1
NSE:COMFINTE,195232769,COMFINTE,COMFORT INTECH,0,1
NSE:COMPUSOFT,7971329,COMPUSOFT,COMPUCOM SOFTWARE,0,1
NSE:COMSYN,5523969,COMSYN,COMMERCIAL SYN BAGS,0,1
NSE:CONCOR,1215745,CONCOR,CONTAINER CORP OF IND,0,1
NSE:CONCORDBIO,4623361,CONCORDBIO,CONCORD BIOTECH,0,1
NSE:CONFIPET,2620929,CONFIPET,CONFIDENCE PETRO IND,0,1
NSE:CONSOFINVT,3003137,CONSOFINVT,CONSO. FIN. & HOLD.,0,1
NSE:CONSUMAXIS,1467393,CONSUMAXIS,AXISAMC-CONSUMAXIS,0,1
NSE:CONSUMINAV,7416833,CONSUMINAV,MIRAEAMC - CONSUMINAV,0,1
NSE:CONTROLPR,4474113,CONTROLPR,CONTROL PRINT,0,1
NSE:CORALFINAC,1025793,CORALFINAC,CORAL INDIA FIN & HOUS LT,0,1
NSE:CORDELIA,195113729,CORDELIA,WATERWAYS LEISURE TOUR L,0,1
NSE:COROMANDEL,189185,COROMANDEL,COROMANDEL INTERNTL.,0,1
NSE:CORONA,194625025,CORONA,CORONA REMEDIES,0,1
NSE:COSMOFIRST,189953,COSMOFIRST,COSMO FIRST,0,1
NSE:COUNCODOS,4348417,COUNCODOS,COUNTRY CONDO S,0,1
NSE:CPEDU,194288897,CPEDU,CAREER POINT EDUTECH,0,1
NSE:CPPLUS,194267649,CPPLUS,ADITYA INFOTECH,0,1
NSE:CRAFTSMAN,730625,CRAFTSMAN,CRAFTSMAN AUTOMATION,0,1
NSE:CRAMC,194383617,CRAMC,CANARA ROBECO AMC,0,1
NSE:CREATIVEYE,2402305,CREATIVEYE,CREATIVE EYE,0,1
NSE:CREDITACC,1131777,CREDITACC,CREDITACCESS GRAMEEN,0,1
NSE:CREST,3558401,CREST,CREST VENTURES,0,1
NSE:CRISIL,193793,CRISIL,CRISIL,0,1
NSE:CRIZAC,194009601,CRIZAC,CRIZAC,0,1
NSE:CROMPTON,4376065,CROMPTON,CROMPT GREA CON ELEC,0,1
NSE:CROWN,2069249,CROWN,CROWN LIFTERS,0,1
NSE:CSBBANK,3831297,CSBBANK,CSB BANK,0,1
NSE:CSLFINANCE,2649601,CSLFINANCE,CSL FINANCE,0,1
NSE:CTE,3639809,CTE,CAMBRIDGE TECH ENTER,0,1
NSE:CUB,1459457,CUB,CITY UNION BANK,0,1
NSE:CUBEXTUB,1040385,CUBEXTUB,CUBEX TUBINGS,0,1
NSE:CUMMINSIND,486657,CUMMINSIND,CUMMINS INDIA,0,1
NSE:CUPID,4741121,CUPID,CUPID,0,1
NSE:CURAA,7728385,CURAA,CURA TECHNOLOGIES,0,1
NSE:CYIENT,1471489,CYIENT,CYIENT,0,1
NSE:CYIENTDLM,4399873,CYIENTDLM,CYIENT DLM,0,1
NSE:DABUR,197633,DABUR,DABUR INDIA,0,1
NSE:DALBHARAT,2067201,DALBHARAT,DALMIA BHARAT,0,1
NSE:DALMIASUG,199937,DALMIASUG,DALMIA BHARAT SUG IN,0,1
NSE:DAMCAPITAL,7337473,DAMCAPITAL,DAM CAPITAL ADVISORS,0,1
NSE:DANGEE,284161,DANGEE,DANGEE DUMS,0,1
NSE:DATAMATICS,2924289,DATAMATICS,DATAMATICS GLOBAL SER,0,1
NSE:DATAPATTNS,1883649,DATAPATTNS,DATA PATTERNS INDIA,0,1
NSE:DAVANGERE,5579265,DAVANGERE,DAVANGERE SUGAR COMPANY L,0,1
NSE:DBCORP,4577537,DBCORP,D.B.CORP,0,1
NSE:DBL,4630017,DBL,DILIP BUILDCON,0,1
NSE:DCAL,5556225,DCAL,DISHMAN CARBO AMCIS,0,1
NSE:DCBBANK,3513601,DCBBANK,DCB BANK,0,1
NSE:DCI,2960897,DCI,DC INFOTECH AND COMUN,0,1
NSE:DCMSHRIRAM,207617,DCMSHRIRAM,DCM SHRIRAM,0,1
NSE:DCMSRIND,1875201,DCMSRIND,DCM SHRIRAM IND,0,1
NSE:DCW,209153,DCW,DCW,0,1
NSE:DCXINDIA,3045121,DCXINDIA,DCX SYSTEMS,0,1
NSE:DDEVPLSTIK,7449089,DDEVPLSTIK,DDEV PLASTIKS IND,0,1
NSE:DECCANCE,3798529,DECCANCE,DECCAN CEMENTS,0,1
NSE:DECNGOLD,195235329,DECNGOLD,DECCAN GOLD MINES,0,1
NSE:DEEPAKFERT,211713,DEEPAKFERT,DEEPAK FERTILIZERS & PETR,0,1
NSE:DEEPAKNTR,5105409,DEEPAKNTR,DEEPAK NITRITE,0,1
NSE:DEEPINDS,842753,DEEPINDS,DEEP INDUSTRIES,0,1
NSE:DEFENCE,194827777,DEFENCE,MIRAEAMC - DEFENCE,0,1
NSE:DEFENCINAV,7834625,DEFENCINAV,MIRAEAMC - DEFENCINAV,0,1
NSE:DELHIVERY,2457345,DELHIVERY,DELHIVERY,0,1
NSE:DELTACORP,3851265,DELTACORP,DELTA CORP,0,1
NSE:DELTAMAGNT,310785,DELTAMAGNT,DELTA MANUFACTURING,0,1
NSE:DEN,4536833,DEN,DEN NETWORKS,0,1
NSE:DENORA,1095425,DENORA,DE NORA INDIA,0,1
NSE:DENTA,7489537,DENTA,DENTA WATER N INFRA SOL L,0,1
NSE:DEVIT,2085377,DEVIT,DEV INFO TECHNOLOGY,0,1
NSE:DEVX,194324225,DEVX,DEV ACCELERATOR,0,1
NSE:DEVYANI,1375489,DEVYANI,DEVYANI INTERNATIONAL,0,1
NSE:DGCONTENT,2648577,DGCONTENT,DIGICONTENT,0,1
NSE:DHAMPURSUG,219393,DHAMPURSUG,DHAMPUR SUGAR MILLS,0,1
NSE:DHANBANK,2907905,DHANBANK,DHANLAXMI BANK,0,1
NSE:DHANUKA,6248705,DHANUKA,DHANUKA AGRITECH,0,1
NSE:DHARMAJ,3328257,DHARMAJ,DHARMAJ CROP GUARD,0,1
NSE:DHUNINV,5691649,DHUNINV,DHUNSERI INVESTMENTS,0,1
NSE:DIACABS,4747009,DIACABS,DIAMOND POWER INFRA,0,1
NSE:DIAMINESQ,4772865,DIAMINESQ,DIAMINES & CHEMICALS,0,1
NSE:DIAMONDYD,5591041,DIAMONDYD,PRATAAP SNACKS,0,1
NSE:DICIND,179969,DICIND,DIC INDIA,0,1
NSE:DIFFNKG,6572033,DIFFNKG,DIFFUSION ENGINEERS,0,1
NSE:DIGIDRIVE,5439233,DIGIDRIVE,DIGIDRIVE DISTRIBUTORS L,0,1
NSE:DIGITIDE,193923841,DIGITIDE,DIGITIDE SOLUTIONS,0,1
NSE:DIGJAMLMTD,1568513,DIGJAMLMTD,DIGJAM,0,1
NSE:DISAQ,195236609,DISAQ,DISA INDIA,0,1
NSE:DIVGIITTS,3706625,DIVGIITTS,DIVGI TORQTRANSFER SYST L,0,1
NSE:DIVIDEINAV,7830785,DIVIDEINAV,MIRAEAMC - DIVIDEINAV,0,1
NSE:DIVISLAB,2800641,DIVISLAB,DIVI S LABORATORIES,0,1
NSE:DIXON,5552641,DIXON,DIXON TECHNO (INDIA),0,1
NSE:DJML,3263745,DJML,DJ MEDIAPRINT & LOG,0,1
NSE:DLF,3771393,DLF,DLF,0,1
NSE:DLINKINDIA,4569857,DLINKINDIA,D-LINK INDIA,0,1
NSE:DMART,5097729,DMART,AVENUE SUPERMARTS,0,1
NSE:DMCC,1785089,DMCC,DMCC SPECIALITY CHEMICALS,0,1
NSE:DNAMEDIA,164097,DNAMEDIA,DILIGENT MEDIA CORP,0,1
NSE:DODLA,1234433,DODLA,DODLA DAIRY,0,1
NSE:DOLATALGO,3103745,DOLATALGO,DOLAT ALGOTECH,0,1
NSE:DOLLAR,5263361,DOLLAR,DOLLAR INDUSTRIES,0,1
NSE:DOLPHIN,4643585,DOLPHIN,DOLPHIN OFF ENT (IND) L,0,1
NSE:DOMS,5261057,DOMS,DOMS INDUSTRIES,0,1
NSE:DONEAR,3542785,DONEAR,DONEAR IND.,0,1
NSE:DPABHUSHAN,239617,DPABHUSHAN,D. P. ABHUSHAN,0,1
NSE:DRAGARWQ,195237889,DRAGARWQ,DR. AGARWAL'S EYE HOSP L,0,1
NSE:DRCSYSTEMS,677121,DRCSYSTEMS,DRC SYSTEMS INDIA,0,1
NSE:DREAMFOLKS,2779905,DREAMFOLKS,DREAMFOLKS SERVICES,0,1
NSE:DREDGECORP,2885377,DREDGECORP,DREDGING CORP OF INDIA,0,1
NSE:DRREDDY,225537,DRREDDY,DR. REDDY S LABORATORIES,0,1
NSE:DSPBNKINAV,3495681,DSPBNKINAV,DSPAMC - DSPBNKINAV,0,1
NSE:DSPNITINAV,4407553,DSPNITINAV,DSPAMC - DSPNITINAV,0,1
NSE:DSPPSBINAV,4510721,DSPPSBINAV,DSPAMC - DSPPSBINAV,0,1
NSE:DSPPVBINAV,4510465,DSPPVBINAV,DSPAMC - DSPPVBINAV,0,1
NSE:DSPSENINAV,4510977,DSPSENINAV,DSPAMC - DSPSENINAV,0,1
NSE:DSPSILINAV,2755585,DSPSILINAV,DSPAMC - DSPSILINAV,0,1
NSE:DSSL,6576641,DSSL,DYNACONS SYS & SOLN,0,1
NSE:DTIL,1594113,DTIL,DHUNSERI TEA & IND.,0,1
NSE:DUCON,7411713,DUCON,DUCON INFRATECHNOLOGIES L,0,1
NSE:DVL,3894785,DVL,DHUNSERI VENTURES,0,1
NSE:DWARKESH,2986753,DWARKESH,DWARIKESH SUGAR IND,0,1
NSE:DYCL,2666753,DYCL,DYNAMIC CABLES,0,1
NSE:DYNAMATECH,1158401,DYNAMATECH,DYNAMATIC TECHNOLOGIES,0,1
NSE:DYNPRO,5456385,DYNPRO,DYNEMIC PRODUCTS,0,1
NSE:E2E,2287873,E2E,E2E NETWORKS,0,1
NSE:EASEMYTRIP,714753,EASEMYTRIP,EASY TRIP PLANNERS,0,1
NSE:EBANKINAV,2562049,EBANKINAV,EBANK INAV,0,1
NSE:EBB433INAV,3371009,EBB433INAV,EDELAMC - EBB433INAV,0,1
NSE:EBGNG,194012673,EBGNG,GNG ELECTRONICS,0,1
NSE:EBNKNFINAV,6477057,EBNKNFINAV,EDELAMC - EBNKNFINAV,0,1
NSE:ECAPININAV,7430145,ECAPININAV,EDELAMC - ECAPININAV,0,1
NSE:ECLERX,3885825,ECLERX,ECLERX SERVICES,0,1
NSE:EDELWEISS,3870465,EDELWEISS,EDELWEISS FIN SERV,0,1
NSE:EFCIL,194220801,EFCIL,EFC (I),0,1
NSE:EGOLDINAV,5105665,EGOLDINAV,EDELAMC - EGOLDINAV,0,1
NSE:EICHERMOT,232961,EICHERMOT,EICHER MOTORS,0,1
NSE:EIDPARRY,234497,EIDPARRY,EID PARRY INDIA,0,1
NSE:EIEL,6966529,EIEL,ENVIRO INFRA ENGINEERS L,0,1
NSE:EIHAHOTELS,3942145,EIHAHOTELS,EIH ASSOCIATED HOTELS - OBEROI HOTELS,0,1
NSE:EIHOTEL,235265,EIHOTEL,EIH - OBEROI HOTELS,0,1
NSE:EIMCOELECO,1034241,EIMCOELECO,EIMCO ELECON (INDIA),0,1
NSE:EKC,3351297,EKC,EVEREST KANTO CYLINDERLTD,0,1
NSE:ELANTAS,195239169,ELANTAS,ELANTAS BECK INDIA,0,1
NSE:ELCIDIN,195240449,ELCIDIN,ELCID INVESTMENTS,0,1
NSE:ELDEHSG,2291969,ELDEHSG,ELDECO HSG & IND,0,1
NSE:ELECON,3492609,ELECON,ELECON ENG. CO.,0,1
NSE:ELECTCAST,237569,ELECTCAST,ELECTROSTEEL CASTINGS,0,1
NSE:ELECTHERM,1144065,ELECTHERM,ELECTROTHERM (I),0,1
NSE:ELGIEQUIP,239873,ELGIEQUIP,ELGI EQUIPMENTS,0,1
NSE:ELGIRUBCO,6380545,ELGIRUBCO,ELGI RUBBER CO.,0,1
NSE:ELIN,3436289,ELIN,ELIN ELECTRONICS,0,1
NSE:ELIQUIINAV,7820033,ELIQUIINAV,EDELAMC - ELIQUIINAV,0,1
NSE:ELITECON,195241729,ELITECON,ELITECON INTERNATIONAL L,0,1
NSE:ELLEN,194192129,ELLEN,ELLENBARRIE INDUS GASES L,0,1
NSE:ELM250INAV,7818753,ELM250INAV,EDELAMC - ELM250INAV,0,1
NSE:ELPROINTL,1144577,ELPROINTL,ELPRO INTERNATIONAL,0,1
NSE:EMAMILTD,3460353,EMAMILTD,EMAMI,0,1
NSE:EMAMIPAP,2578945,EMAMIPAP,EMAMI PAPER MILLS,0,1
NSE:EMBDL,3699201,EMBDL,EMBASSY DEVELOPMENTS,0,1
NSE:EMCURE,6245889,EMCURE,EMCURE PHARMACEUTICALS L,0,1
NSE:EMIL,2951681,EMIL,ELECTRONICS MART IND,0,1
NSE:EMKAY,3435777,EMKAY,EMKAY GLOBAL FIN SERV,0,1
NSE:EMLTMQINAV,6655745,EMLTMQINAV,EDELAMC - EMLTMQINAV,0,1
NSE:EMMVEE,194490369,EMMVEE,EMMVEE PHOTOVOLTAIC PWR L,0,1
NSE:EMSLIMITED,4759809,EMSLIMITED,EMS,0,1
NSE:EMUDHRA,2497537,EMUDHRA,EMUDHRA,0,1
NSE:ENDURANCE,4818433,ENDURANCE,ENDURANCE TECHNO.,0,1
NSE:ENERGYDEV,3852545,ENERGYDEV,ENERGY DEVE. CO.LTD,0,1
NSE:ENERGYINAV,7826433,ENERGYINAV,MIRAEAMC - ENERGYINAV,0,1
NSE:ENEXT50,195466241,ENEXT50,EDELAMC - ENEXT50,0,1
NSE:ENEXTINAV,195468545,ENEXTINAV,EDELAMC - ENEXTINAV,0,1
NSE:ENGINERSIN,1256193,ENGINERSIN,ENGINEERS INDIA,0,1
NSE:ENIFTYINAV,7828225,ENIFTYINAV,EDELAMC - ENIFTYINAV,0,1
NSE:ENIL,3377153,ENIL,ENTERTAIN NET. IND.,0,1
NSE:ENRIN,193758977,ENRIN,SIEMENS ENERGY INDIA,0,1
NSE:ENTERO,5815553,ENTERO,ENTERO HEALTHCARE SOLU L,0,1
NSE:EPACK,5750529,EPACK,EPACK DURABLE,0,1
NSE:EPIGRAL,1377793,EPIGRAL,EPIGRAL,0,1
NSE:EPL,251137,EPL,EPL,0,1
NSE:EQU200INAV,7711745,EQU200INAV,MIRAEAMC - EQU200INAV,0,1
NSE:EQUA50INAV,7808769,EQUA50INAV,MIRAEAMC - EQUA50INAV,0,1
NSE:EQUITASBNK,233729,EQUITASBNK,EQUITAS SMALL FIN BNK,0,1
NSE:ERIS,5415425,ERIS,ERIS LIFESCIENCES,0,1
NSE:ESABINDIA,244481,ESABINDIA,ESAB INDIA,0,1
NSE:ESAFSFB,5088769,ESAFSFB,ESAF SMALL FINANCE BANK L,0,1
NSE:ESCORTS,245249,ESCORTS,ESCORTS KUBOTA,0,1
NSE:ESENSEINAV,7827969,ESENSEINAV,EDELAMC - ESENSEINAV,0,1
NSE:ESILINAV,5186561,ESILINAV,EDELAMC - ESILVER,0,1
NSE:ESSARSHPNG,6562305,ESSARSHPNG,ESSAR SHIPPING,0,1
NSE:ESTER,6211841,ESTER,ESTER INDUSTRIES,0,1
NSE:ETERNAL,1304833,ETERNAL,ETERNAL - ZOMATO,0,1
NSE:ETHOSLTD,2496001,ETHOSLTD,ETHOS,0,1
NSE:EUREKAFORB,6441473,EUREKAFORB,EUREKA FORBES,0,1
NSE:EUROBOND,194035969,EUROBOND,EURO PANEL PRODUCTS,0,1
NSE:EUROPRATIK,194508033,EUROPRATIK,EURO PRATIK SALES,0,1
NSE:EVEREADY,3016193,EVEREADY,EVEREADY INDS. IND. ,0,1
NSE:EVINDINAV,6263809,EVINDINAV,MIRAEAMC - EVINDINAV,0,1
NSE:EXCELINDUS,2936577,EXCELINDUS,EXCEL INDUSTRIES,0,1
NSE:EXCELSOFT,194561793,EXCELSOFT,EXCELSOFT TECHNOLOGIES L,0,1
NSE:EXICOM,5874433,EXICOM,EXICOM TELE SYSTEMS,0,1
NSE:EXIDEIND,173057,EXIDEIND,EXIDE INDUSTRIES,0,1
NSE:EXPLEOSOL,4476417,EXPLEOSOL,EXPLEO SOLUTIONS,0,1
NSE:EXXARO,1370113,EXXARO,EXXARO TILES,0,1
NSE:FABTECH,194592001,FABTECH,FABTECH TECHNOLOGIES,0,1
NSE:FACT,258049,FACT,FACT,0,1
NSE:FAZE3Q,3072001,FAZE3Q,FAZE THREE,0,1
NSE:FCL,1586689,FCL,FINEOTEX CHEMICAL,0,1
NSE:FDC,1253889,FDC,FDC,0,1
NSE:FEDDERSHOL,195244801,FEDDERSHOL,FEDDERS HOLDING,0,1
NSE:FEDERALBNK,261889,FEDERALBNK,FEDERAL BANK,0,1
NSE:FEDFINA,5202433,FEDFINA,FEDBANK FINANCIAL SER L,0,1
NSE:FERMENTA,195246081,FERMENTA,FERMENTA BIOTECH,0,1
NSE:FIBERWEB,2088705,FIBERWEB,FIBERWEB INDIA,0,1
NSE:FIEMIND,3509761,FIEMIND,FIEM INDUSTRIES,0,1
NSE:FILATEX,6280193,FILATEX,FILATEX INDIA,0,1
NSE:FINCABLES,265729,FINCABLES,FINOLEX CABLES,0,1
NSE:FINEORG,958465,FINEORG,FINE ORGANIC IND.,0,1
NSE:FINKURVE,194365185,FINKURVE,FINKURVE FINANCIAL SERV L,0,1
NSE:FINOPB,1684225,FINOPB,FINO PAYMENTS BANK,0,1
NSE:FINPIPE,266497,FINPIPE,FINOLEX INDUSTRIES,0,1
NSE:FISCHER,193960449,FISCHER,FISCHER MEDICAL VENTURE L,0,1
NSE:FIVESTAR,3080193,FIVESTAR,FIVE-STAR BUS FIN,0,1
NSE:FLAIR,5215233,FLAIR,FLAIR WRITING INDUST,0,1
NSE:FLEXIAINAV,7820289,FLEXIAINAV,DSPAMC - FLEXIAINAV,0,1
NSE:FLUOROCHEM,3520001,FLUOROCHEM,GUJARAT FLUOROCHEM,0,1
NSE:FMCGADD,195463681,FMCGADD,DSPAMC - FMCGADD,0,1
NSE:FMCGADINAV,195464449,FMCGADINAV,DSPAMC - FMCGADINAV,0,1
NSE:FMGOETZE,304641,FMGOETZE,FEDERAL-MOGUL GOETZE (IND,0,1
NSE:FOODSIN,1708289,FOODSIN,FOODS & INNS,0,1
NSE:FORCEMOT,2962689,FORCEMOT,FORCE MOTORS,0,1
NSE:FORTIS,3735553,FORTIS,FORTIS HEALTHCARE,0,1
NSE:FOSECOIND,274689,FOSECOIND,FOSECO INDIA,0,1
NSE:FRACTAL,194806017,FRACTAL,FRACTAL ANALYTICS,0,1
NSE:FRONTSP,195247361,FRONTSP,FRONTIER SPRINGS,0,1
NSE:FSL,3661825,FSL,FIRSTSOURCE SOLU.,0,1
NSE:FUSION,3054593,FUSION,FUSION FINANCE,0,1
NSE:GABRIEL,277761,GABRIEL,GABRIEL INDIA,0,1
NSE:GAEL,2259969,GAEL,GUJARAT AMBUJA EXPORTS LT,0,1
NSE:GAIL,1207553,GAIL,GAIL (INDIA),0,1
NSE:GALAPREC,6434305,GALAPREC,GALA PRECISION ENG,0,1
NSE:GALAXYSURF,336641,GALAXYSURF,GALAXY SURFACTANTS,0,1
NSE:GALLANTT,3414273,GALLANTT,GALLANTT ISPAT,0,1
NSE:GANDHAR,5197569,GANDHAR,GANDHAR OIL REFINE IND L,0,1
NSE:GANDHITUBE,3613697,GANDHITUBE,GANDHI SPL. TUBES,0,1
NSE:GANECOS,1777665,GANECOS,GANESHA ECOSPHERE,0,1
NSE:GANESHBE,1437185,GANESHBE,GANESH BENZOPLAST,0,1
NSE:GANESHCP,194307073,GANESHCP,GANESH CONSUMER PRODUCT L,0,1
NSE:GANESHHOU,3670785,GANESHHOU,GANESH HOUSING,0,1
NSE:GANGESSECU,5478145,GANGESSECU,GANGES SECURITIES,0,1
NSE:GARFIBRES,281601,GARFIBRES,GARWARE TECH FIBRES,0,1
NSE:GARUDA,6604801,GARUDA,GARUDA CONSTRUCT N ENG L,0,1
NSE:GATECH,4579329,GATECH,GACM TECHNOLOGIES,0,1
NSE:GATECHDVR,4353,GATECHDVR,GACM TECHNOLOGIES,0,1
NSE:GATEWAY,2178561,GATEWAY,GATEWAY DISTRIPARKS,0,1
NSE:GAYAHWS,945409,GAYAHWS,GAYATRI HIGHWAYS,0,1
NSE:GCSL,194300417,GCSL,GRETEX CORPORATE SERVICES,0,1
NSE:GEEKAYWIRE,4588033,GEEKAYWIRE,GEEKAY WIRES,0,1
NSE:GEMAROMA,194422017,GEMAROMA,GEM AROMATICS,0,1
NSE:GENCON,560129,GENCON,GENERIC ENG CONS PROJ,0,1
NSE:GENESYS,2791681,GENESYS,GENESYS INTL CORPN,0,1
NSE:GENUSPAPER,1689601,GENUSPAPER,GENUS P&B,0,1
NSE:GENUSPOWER,3047681,GENUSPOWER,GENUS POWER INFRASTRU,0,1
NSE:GEOJITFSL,3045377,GEOJITFSL,GEOJIT FINANCIAL SER L,0,1
NSE:GESHIP,3526657,GESHIP,THE GE SHPG.LTD,0,1
NSE:GFLLIMITED,329985,GFLLIMITED,GFL,0,1
NSE:GHCL,288513,GHCL,GHCL,0,1
NSE:GHCLTEXTIL,4274177,GHCLTEXTIL,GHCL TEXTILES,0,1
NSE:GHOSPIINAV,7835649,GHOSPIINAV,GROWWAMC - GHOSPIINAV,0,1
NSE:GICHSGFIN,291585,GICHSGFIN,GIC HOUSING FINANCE,0,1
NSE:GICL,194822401,GICL,GLOBE INTL CARRIERS,0,1
NSE:GICRE,70913,GICRE,GENERAL INS CORP OF INDIA,0,1
NSE:GILLANDERS,4566785,GILLANDERS,GILLANDERS ARBUTHNOT,0,1
NSE:GILLETTE,403457,GILLETTE,GILLETTE INDIA,0,1
